ID	Qwen3 8B	GPT	Qwen3 32B	Year	Decade	Period	Century	Author	Journal
rspa_1964_0131	Physics	Physics	Physics	1964	1960	1950	1900	R. H. Carr|R. D. McCammon|G. K. White|K. Mendelssohn,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1995_0017	Engineering and Technology	Engineering and Technology	Engineering and Technology	1995	1990	1950	1900	B. A. Bilby|I. C. Howard|Z. H. Li	Proceedings of the Royal Society of London. Series A: Mathematical and Physical Sciences
rspl_1887_0167	Earth Sciences	Earth Sciences	Earth Sciences	1887	1880	1850	1800	G. C. Bourne,B. A.,F. L. S.|Professor E. Ray Lankester,F. R. S.	Proceedings of the Royal Society of London
rsta_1994_0023	Physics	Physics	Physics	1994	1990	1950	1900	A. V. Narlikar|S. B. Samanta|P. K. Dutta	Philosophical Transactions of the Royal Society of London. Series A: Physical and Engineering Sciences
rstb_1913_0006	Medicine	Medicine	Medicine	1913	1910	1900	1900	C. Gordon Douglas,B. M.|J. S. Haldane,M. D.,LL. D.,F. R. S.|Yandell Henderson,Ph. D.|Edward C. Schneider,Ph. D.	Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspa_1932_0137	Chemistry	Chemistry	Chemistry	1932	1930	1900	1900	Morris W. Travers,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1932_0038	Chemistry	Chemistry	Chemistry	1932	1930	1900	1900	H. W. Melville|E. B. Ludlam|J. Kendall,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
104535	Medicine	Medicine	Medicine	1748	1740	1700	1700	Cromwell Mortimer	Philosophical Transactions (1683-1775)
rspa_1932_0182	Physics	Physics	Physics	1932	1930	1900	1900	J. C. McLennan,F. R. S.|A. C. Burton|A. Pitt|J. O. Wilhelm	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1935_0223	Chemistry	Chemistry	Chemistry	1935	1930	1900	1900	A. R. Ubbelohde|J. W. Drinkwater|A. Egerton,F. R. S.	Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences
102557	Earth Sciences	Earth Sciences	Earth Sciences	1698	1690	1650	1600	Dr. Robert	Philosophical Transactions (1683-1775)
rsbm_1987_0002	Mathematics	Mathematics	Mathematics	1987	1980	1950	1900	M. J. D. Powell,F. R. S.|Evelyn Martin Lansdowne Beale	Biographical Memoirs of Fellows of the Royal Society
rspa_1962_0131	Physics	Physics	Physics	1962	1960	1950	1900	S. Chandrasekhar,F. R. S. |Donna D. Elbert	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
101250	Chemistry	Physics	Physics	1666	1660	1650	1600		Philosophical Transactions (1665-1678)
102274	Earth Sciences	Earth Sciences	Earth Sciences	1695	1690	1650	1600	Zachary Mayne	Philosophical Transactions (1683-1775)
rspa_1976_0105	Physics	Physics	Astronomy	1976	1970	1950	1900	M. D. Pollock|S. W. Hawking,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspa_1974_0031	Physics	Physics	Physics	1974	1970	1950	1900	C. S. Herrick|G. K. Batchelor,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
110182	Physics	Physics	Physics	1815	1810	1800	1800	William Ritchie	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rspa_1954_0016	Physics	Physics	Physics	1954	1950	1950	1900	R. D. Lowde|Sir John Cockcroft,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rstb_1972_0011	Biology	Biology	Biology	1972	1970	1950	1900	D. T. Anderson|Sidnie M. Manton,F. R. S.	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspa_1966_0128	Chemistry	Physics	Chemistry	1966	1960	1950	1900	M. Cohen|E. M. Parkinson|D. R. Bates,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1940_0053	Chemistry	Chemistry	Chemistry	1940	1940	1900	1900	J. J. Fox|A. E. Martin|Sir Robert Robertson,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
103200	Chemistry	Chemistry	Chemistry	1713	1710	1700	1700	Fred. Slare	Philosophical Transactions (1683-1775)
112380	Physics	Physics	Physics	1868	1860	1850	1800	John Tyndall	Proceedings of the Royal Society of London
rspb_1935_0052	Biology	Biology	Biology	1935	1930	1900	1900	Honor B. Fell|Walter Landauer|R. Robison,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspb_1956_0040	Biology	Biology	Biology	1956	1950	1950	1900	P. M. Sheppard|E. B. Ford,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rsta_1976_0101	Engineering and Technology	Engineering and Technology	Engineering and Technology	1976	1970	1950	1900	W. L. Mercer	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspb_1936_0070	Biology	Biology	Biology	1936	1930	1900	1900	F. J. Stare|C. A. Baumann|D. Keilin,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspa_1954_0283	Physics	Physics	Physics	1954	1950	1950	1900	E. W. Elcock|E. C. Stoner,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1937_0035	Chemistry	Chemistry	Chemistry	1937	1930	1900	1900	A. G. Carter,B. Sc. |Morris W. Travers,F. R. S.	Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences
rsta_1977_0087	Earth Sciences	Astronomy	Earth Sciences	1977	1970	1950	1900	D. R. Lammlein|Sir Harrie Massey,SeC.R.S.,|G. M. Brown,F.R.S.|G. Eglinton,F.R.S.|S. K. Runcorn,F.R.S.|H. C. Urey,For. Mem. R.S.	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
108944	Physics	Physics	Engineering and Technology	1866	1860	1850	1800	Joseph D. Everett	Philosophical Transactions of the Royal Society of London
109762	Physics	Physics	Physics	1800	1800	1800	1800	William Hyde Wollaston	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rspl_1887_0064	Earth Sciences	Earth Sciences	Earth Sciences	1887	1880	1850	1800	T. G. Bonney,D. Sc.,LL. D.,F. R. S.	Proceedings of the Royal Society of London
rsbm_1974_0018	Miscellaneous	Chemistry	Humanities	1974	1970	1950	1900	R. A. Kekwick,F. R. S. |Kai O. Pedersen|Arne Tiselius	Biographical Memoirs of Fellows of the Royal Society
rspa_1968_0101	Chemistry	Chemistry	Chemistry	1968	1960	1950	1900	R. Mason|A. I. M. Rae|C. A. Coulson,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
104599	Medicine	Medicine	Medicine	1749	1740	1700	1700	Benj. Heath|John Mudge	Philosophical Transactions (1683-1775)
rspb_1927_0009	Biology	Biology	Biology	1927	1920	1900	1900	Sydney Dickinson|Sir John Russell,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rstb_1962_0001	Biology	Biology	Biology	1962	1960	1950	1900	C. M. Yonge F. R. S.	Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences
rsbm_1963_0008	Humanities	Humanities	Humanities	1963	1960	1950	1900	R. J. G. Savage|Martin Alister Campbell Hinton	Biographical Memoirs of Fellows of the Royal Society
rspa_1927_0127	Chemistry	Earth Sciences	Earth Sciences	1927	1920	1900	1900	F. I. G. Rawlins|E. K. Rideal|A. Hutchinson,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspb_1957_0027	Biology	Biology	Biology	1957	1950	1950	1900	A. D. Barnes|P. L. Krohn|Sir Solly Zuckerman,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
101863	Earth Sciences	Earth Sciences	Earth Sciences	1686	1680	1650	1600	William Molineux	Philosophical Transactions (1683-1775)
rsbm_1954_0014	Miscellaneous	Humanities	Humanities	1954	1950	1950	1900	F. S. Russell|James Herbert Orton	Obituary Notices of Fellows of the Royal Society
104010	Astronomy	Physics	Astronomy	1735	1730	1700	1700	Jos. Nic.Del&apos,Isle|Henry Zollman	Philosophical Transactions (1683-1775)
rspa_1932_0069	Engineering and Technology	Engineering and Technology	Engineering and Technology	1932	1930	1900	1900	W. J. Duncan,D. Sc.,A. M. I. Mech. E.|R. V. Southwell,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1951_0195	Physics	Earth Sciences	Earth Sciences	1951	1950	1950	1900	D. J. Malan|B. F. J. Schonland,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rstb_1976_0066	Humanities	Humanities	Humanities	1976	1970	1950	1900	Grahame Clark,F. B. A. |Sir Joseph Hutchinson,F. R. S. |Grahame Clark,F. B. A. |E. M. Jope,F. B. A. |R. Riley,F. R. S.	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspa_1973_0115	Physics	Physics	Physics	1973	1970	1950	1900	J. P. Connerade|M. W. D. Manseield|W. R. S. Garton,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
104442	Physics	Physics	Physics	1744	1740	1700	1700	John Henry Wintler	Philosophical Transactions (1683-1775)
rsta_1980_0174	Astronomy	Astronomy	Astronomy	1980	1980	1950	1900	J. E. Tohline|W. H. McCrea,F. R. S. |M. J. Rees	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rsbm_1963_0003	Biology	Biology	Biology	1963	1960	1950	1900	J. E. Smith|Herbert Graham Cannon	Biographical Memoirs of Fellows of the Royal Society
rspa_1918_0014	Physics	Physics	Physics	1918	1910	1900	1900	Arthur Schuster,Sec. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
111233	Earth Sciences	Earth Sciences	Earth Sciences	1850	1850	1850	1800	John Welsh	Abstracts of the Papers Communicated to the Royal Society of London
rspa_1925_0042	Physics	Physics	Physics	1925	1920	1900	1900	W. E. Curtis,D. Sc.,A. R. C. S.|Prof. O. W. Richardson,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
109009	Physics	Physics	Physics	1869	1860	1850	1800	Thomas Andrews	Philosophical Transactions of the Royal Society of London
rspb_1968_0052	Biology	Biology	Biology	1968	1960	1950	1900	L. Fowden,F. R. S.|Sir Robert Robinson,F. R. S.|N. W. Pirie,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspl_1870_0096	Miscellaneous	Miscellaneous	Miscellaneous	1870	1870	1850	1800		Proceedings of the Royal Society of London
rsbm_1981_0025	Chemistry	Chemistry	Chemistry	1981	1980	1950	1900	Lord Todd,O.M.,F. R. S.|Sir John Cornforth,F. R. S.|Robert Burns Woodward	Biographical Memoirs of Fellows of the Royal Society
rspb_1947_0020	Earth Sciences	Earth Sciences	Earth Sciences	1947	1940	1900	1900	H. Pettersson|Sir John Edgell,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspa_1934_0178	Chemistry	Chemistry	Chemistry	1934	1930	1900	1900	W. G. Thomas|E. P. Perman|A. W. Porter,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1917_0026	Physics	Physics	Engineering and Technology	1917	1910	1900	1900	Ernest Wilson,M. Inst. C. E.,M. I. E. E.|J. W. Nicholson,M. A.,D. Sc.|Prof. J. A. Fleming,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1952_0207	Physics	Physics	Physics	1952	1950	1950	1900	K. G. Budden|J. A. Ratcliffe,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
111147	Physics	Physics	Physics	1850	1850	1850	1800	M. O&apos,Brien	Abstracts of the Papers Communicated to the Royal Society of London
rsnr_1953_0009	Humanities	Humanities	Humanities	1953	1950	1950	1900	G. R. De Beer,F. R. S.	Notes and Records of the Royal Society of London
rspb_1994_0165	Biology	Biology	Biology	1994	1990	1950	1900	Baruch Rinkevich|Irving L. Weissman|Michal Shapira	Proceedings of the Royal Society of London. Series B: Biological Sciences
rsta_1902_0008	Astronomy	Astronomy	Astronomy	1902	1900	1900	1900	Sir Norman Lockyer,K. C. B.,F. R. S.	Philosophical Transactions of the Royal Society of London. Series A, Containing Papers of a Mathematical or Physical Character
rspa_1910_0041	Chemistry	Chemistry	Chemistry	1910	1910	1900	1900	Sir James Dewar,M. A.,Sc. D.,LL. D.,F. R. S.|Humphrey Owen Jones,M. A.,D. Sc.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspb_1969_0007	Biology	Biology	Biology	1969	1960	1950	1900	S. R. Smithers|R. J. Terry|D. J. Hockley|Sir Peter Medawar,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspl_1889_0025	Earth Sciences	Earth Sciences	Earth Sciences	1889	1880	1850	1800	S. Allport,F. G. S.|T. G. Bonney,D. Sc.,F. R. S.	Proceedings of the Royal Society of London
rspa_1967_0216	Physics	Physics	Physics	1967	1960	1950	1900	S. Simons|Sir Alan Wilson,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
101997	Biology	Biology	Biology	1693	1690	1650	1600	Mr. Witzen	Philosophical Transactions (1683-1775)
rspa_1974_0100	Physics	Physics	Physics	1974	1970	1950	1900	W. G. Unruh|R. Penrose,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspb_1934_0039	Chemistry	Chemistry	Chemistry	1934	1930	1900	1900	F. P. Bowden|S. D. D. Morris|T. M. Lowry,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspl_1895_0037	Physics	Physics	Physics	1895	1890	1850	1800	Sir John Conroy,Bart.,F. R. S.	Proceedings of the Royal Society of London
rsta_1976_0064	Engineering and Technology	Engineering and Technology	Engineering and Technology	1976	1970	1950	1900	P. L. B. Oxley|W. F. Hastings|Sir Hugh Ford,F. R. S.	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspl_1901_0060	Mathematics	Mathematics	Mathematics	1901	1900	1900	1900	Karl Pearson,F. R. S.	Proceedings of the Royal Society of London
rspb_1954_0013	Biology	Biology	Biology	1954	1950	1950	1900	J. F. Danielli	Proceedings of the Royal Society of London. Series B - Biological Sciences
rstb_1938_0002	Earth Sciences	Earth Sciences	Earth Sciences	1938	1930	1900	1900	A. G. MacGregor,F. R. S. E.,F. G. S.|E. B. Bailey,F. R. S.	Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences
rsnr_1986_0009	Chemistry	Chemistry	Chemistry	1986	1980	1950	1900	John H. Appleby|Humphrey Jackson,F. R. S.	Notes and Records of the Royal Society of London
rspa_1938_0004	Physics	Physics	Physics	1938	1930	1900	1900	D. A. Jackson|H. Kuhn|F. A. Lindemann,F. R. S.	Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences
rspa_1956_0046	Physics	Physics	Physics	1956	1950	1950	1900	F. C. Champion|B. Dale|J. R. Randall,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
110401	Physics	Physics	Physics	1830	1830	1800	1800	William Rowan Hamilton	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rspa_1983_0108	Engineering and Technology	Engineering and Technology	Engineering and Technology	1983	1980	1950	1900	W. H. Wittrick,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rstb_1927_0003	Biology	Biology	Biology	1927	1920	1900	1900	H. R. Hewer,D. I. C.,B. Sc.|Prof. E. W. MacBride,F. R. S.	Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character
110772	Biology	Biology	Biology	1837	1830	1800	1800	William Addison	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rstb_1977_0004	Biology	Biology	Biology	1977	1970	1950	1900	G. Lewis|P. M. Sheppard F. R. S.	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspl_1892_0106	Biology	Biology	Biology	1892	1890	1850	1800		Proceedings of the Royal Society of London
rspl_1888_0058	Astronomy	Astronomy	Astronomy	1888	1880	1850	1800	Captain W. de W. Abney,C. B.,R. E.,F. R. S.|T. E. Thorpe,Ph. D.,F. R. S.	Proceedings of the Royal Society of London
rsta_1894_0009	Astronomy	Astronomy	Astronomy	1894	1890	1850	1800	William E. Wilson,M. R. I. A.|P. L. Gray,B. Sc.,A. R. C. S.|G. Johnstone Stoney,F. R. S.	Philosophical Transactions of the Royal Society of London. (A.)
rstb_1995_0063	Earth Sciences	Earth Sciences	Earth Sciences	1995	1990	1950	1900	J. L. Sarmento|R. Murnane|C. Le Qu\#xE9,r\#xE9,|R. Keeling|R. G. Williams|G. Eglington|H. Elderfield|M. Whitfield|P. J. Le. B. Williams	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
rsta_1965_0009	Earth Sciences	Earth Sciences	Earth Sciences	1965	1960	1950	1900	N. S. Heaps|J. Proudman,F. R. S.	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rsta_1981_0184	Earth Sciences	Earth Sciences	Earth Sciences	1981	1980	1950	1900	J. A. Whitehead,Jr|J. C. Swallow,F. R. S. |R. I. Currie|A. E. Gill|J. H. Simpson	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspb_1936_0011	Biology	Biology	Biology	1936	1930	1900	1900	Colin G. Butler|Jean M. Innes|A. D. Imms,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspb_1933_0068	Medicine	Medicine	Medicine	1933	1930	1900	1900	M. K. Mcphail |A. S. Parkes,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspa_1947_0005	Physics	Earth Sciences	Physics	1947	1940	1900	1900	P. A. Sheppard|D. Brunt,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1938_0040	Biology	Biology	Biology	1938	1930	1900	1900	M. J. D. White|J. B. S. Haldane,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rsbm_1982_0012	Biology	Biology	Chemistry	1982	1980	1950	1900	Sir Hans Krebs,F. R. S.|K. Decker|Feodor Lynen	Biographical Memoirs of Fellows of the Royal Society
rspb_1947_0012	Biology	Biology	Biology	1947	1940	1900	1900	A. Wilkes|W. R. Thompson,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspa_1958_0044	Chemistry	Chemistry	Chemistry	1958	1950	1950	1900	J. D. Mullen|G. Skirrow|C. E. H. Bawn,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1925_0087	Biology	Biology	Biology	1925	1920	1900	1900	S. A. Emerson,A. R. C. S.,B. Sc.|L. C. Martin,D. Sc.,A. R. C. S.,D. I. C.|Prof. H. L. Callendar,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rstb_1990_0191	Biology	Biology	Biology	1990	1990	1950	1900	Peter Kareiva|A. Mullen|R. Southwood|M. P. Hassell|R. M. May	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
101284	Medicine	Medicine	Medicine	1668	1660	1650	1600		Philosophical Transactions (1665-1678)
rspa_1983_0136	Chemistry	Chemistry	Chemistry	1983	1980	1950	1900	G. W. Neilson|J. E. Enderby|A. D. Buckingham	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
112399	Astronomy	Astronomy	Astronomy	1868	1860	1850	1800	J. Herschel	Proceedings of the Royal Society of London
rspa_1993_0164	Mathematics	Physics	Mathematics	1993	1990	1950	1900	Andrew D. Gilbert	Proceedings of the Royal Society of London. Series A: Mathematical and Physical Sciences
rspl_1889_0062	Biology	Biology	Biology	1889	1880	1850	1800	Charles E. Beevor,M. D.,F. R. C. P.|Victor Horsley,B. S.,F. R. S.	Proceedings of the Royal Society of London
rspl_1901_0129	Physics	Physics	Physics	1901	1900	1900	1900	Ernest Wilson|Sir W. H. Preece,F. R. S.	Proceedings of the Royal Society of London
101208	Medicine	Medicine	Medicine	1666	1660	1650	1600	M. Pecquet	Philosophical Transactions (1665-1678)
109008	Biology	Earth Sciences	Earth Sciences	1869	1860	1850	1800	Professor Owen	Philosophical Transactions of the Royal Society of London
109884	Earth Sciences	Earth Sciences	Earth Sciences	1815	1810	1800	1800	John Davy	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rspl_1897_0019	Earth Sciences	Earth Sciences	Earth Sciences	1897	1890	1850	1800		Proceedings of the Royal Society of London
rspa_1930_0150	Physics	Physics	Physics	1930	1930	1900	1900	C. D. Ellis,F. R. S.|G. H. Aston,M. A.,B. Sc.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspl_1904_0073	Biology	Medicine	Medicine	1904	1900	1900	1900	Robert Muir,M. D.|Carl H. Browning,M. B.,Ch. B.|Sir J. S. Burdon-Sanderson,Bart.,F. R. S.	Proceedings of the Royal Society of London
rspb_1995_0119	Biology	Biology	Biology	1995	1990	1950	1900	Gudmundur A. Gudmundsson|Silvano Benvenuti|Thomas Alerstam|Floriano Papi|Kristj\#xE1,n Lilliendahl|Susanne \#xC5,kesson	Proceedings of the Royal Society of London. Series B: Biological Sciences
rspa_1961_0216	Physics	Physics	Physics	1961	1960	1950	1900	A. F. Ferguson|D. R. Bates,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rsta_1900_0024	Biology	Biology	Biology	1900	1900	1900	1900	Karl Pearson,F. R. S.,with the assistance of Alice Lee,D. Sc.	Philosophical Transactions of the Royal Society of London. Series A, Containing Papers of a Mathematical or Physical Character
rspa_1949_0135	Physics	Physics	Physics	1949	1940	1900	1900	J. Hatton |B. V. Rollin|F. Simon,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1949_0099	Chemistry	Chemistry	Chemistry	1949	1940	1900	1900	C. H. Bamford |M. J. S. Dewar|A. H. Wilson,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rstb_1994_0153	Biology	Biology	Biology	1994	1990	1950	1900	Austin L. Hughes|Marianne K. Hughes|Carina Y. Howell|Masatoshi Nei|J. C. Howard|P. Higgs|W. D. Hamilton|J. C. Howard	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
rspa_1931_0196	Physics	Physics	Physics	1931	1930	1900	1900	A. H. Wilson|R. H. Fowler,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rstb_1989_0082	Medicine	Medicine	Medicine	1989	1980	1950	1900	A. Mariotto|D. R. Cox,F. R. S. |R. M. Anderson,F. R. S. |Hilary C. Hillier	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspa_1938_0160	Physics	Physics	Physics	1938	1930	1900	1900	J. S. Wang|R. H. Fowler,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1971_0147	Physics	Physics	Engineering and Technology	1971	1970	1950	1900	G. R. Woolhouse|M. Ipohorski|Sir Nevill Mott,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rstb_1982_0151	Biology	Biology	Medicine	1982	1980	1950	1900	K. J. Ullrich|H. Murer|R. D. Keynes,F. R. S. |J. C. Ellory	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
104587	Biology	Chemistry	Biology	1748	1740	1700	1700	Turbervill Needham	Philosophical Transactions (1683-1775)
rspb_1950_0025	Biology	Biology	Biology	1950	1950	1950	1900	Sir Cyril Hinshelwood,F. R. S.|S. Jackson	Proceedings of the Royal Society of London. Series B - Biological Sciences
110482	Earth Sciences	Earth Sciences	Earth Sciences	1830	1830	1800	1800	Alexander Caldcleugh	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rspb_1957_0018	Biology	Biology	Biology	1957	1950	1950	1900	J. del Castillo|B. Katz,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspa_1983_0007	Physics	Physics	Physics	1983	1980	1950	1900	A. B\#xE1,r\#xE1,ny|D. S. F. Crothers|Sir David Bates,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspl_1894_0025	Earth Sciences	Earth Sciences	Earth Sciences	1894	1890	1850	1800	Charles Davison,M. A.|Professor Poynting,F. R. S.	Proceedings of the Royal Society of London
rspa_1936_0128	Chemistry	Chemistry	Chemistry	1936	1930	1900	1900	E. K. Rideal,F. R. S.|Dr. N. K. Adam,F. R. S.|Mr. G. Gee|Dr. F. A. Askew|Mr. J. S. Mitchell|Dr. J. H. Schulman|Mr. O. Gatty|Dr. Gorter|Dr. J. F. Danielli|Dr. A. Hughes	Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences
rspa_1931_0067	Chemistry	Chemistry	Chemistry	1931	1930	1900	1900	G. D. Bengouch|A. R. Lee|F. Wormwell|Sir Harold Carpenter,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1936_0082	Chemistry	Chemistry	Chemistry	1936	1930	1900	1900	Owen Rhys Howell|Albert Jackson|Eric. K. Rideal,F. R. S.	Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences
rspb_1967_0062	Biology	Biology	Biology	1967	1960	1950	1900	P. O\#x2019,Donald|F. W. R. Brambell F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
112493	Earth Sciences	Earth Sciences	Earth Sciences	1867	1860	1850	1800	J. H. N. Hennessey	Proceedings of the Royal Society of London
rspl_1896_0050	Physics	Physics	Physics	1896	1890	1850	1800		Proceedings of the Royal Society of London
rstb_1968_0004	Biology	Biology	Biology	1968	1960	1950	1900	A. V. Grimstone|Ann M. Mullinger|J. A. Ramsay,F. R. S.	Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences
rspa_1969_0134	Engineering and Technology	Engineering and Technology	Engineering and Technology	1969	1960	1950	1900	R. B. Bent |Sir Harrie Massey,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspa_1989_0079	Physics	Physics	Physics	1989	1980	1950	1900	B. Bleaney,F. R. S.|J. F. Gregg|C. H. A. Huan|I. D. Morris|M. R. Wells	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspb_1961_0021	Biology	Biology	Biology	1961	1960	1950	1900	Eva Frei|R. D. Preston,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rsta_1940_0001	Physics	Engineering and Technology	Engineering and Technology	1940	1940	1900	1900	S. Brodetsky|L. Bairstow,F. R. S.	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspb_1956_0031	Biology	Biology	Biology	1956	1950	1950	1900	R. Dennel|S. R. A. Maler|H. G. Cannon,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rstb_1982_0068	Biology	Biology	Biology	1982	1980	1950	1900	A. Cowey|D. E. Broadbent,F. R. S.|L. Weiskrantz,F. R. S.	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rstl_1885_0015	Physics	Physics	Physics	1885	1880	1850	1800	W. M. Hicks,M. A.,F. R. S.	Philosophical Transactions of the Royal Society of London
rspa_1989_0077	Chemistry	Engineering and Technology	Engineering and Technology	1989	1980	1950	1900	B. W. Brooks|P. Gray,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspa_1970_0055	Chemistry	Chemistry	Chemistry	1970	1970	1950	1900	A. J. Harget|M. J. S. Dewar,F. R. S. |A. J. Harget	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
